237,34,44800
87,12,25500
265,23,91000
108,14,17300
66,19,80600
175,27,13600
231,5,65300
8,27,5400
182,31,8500
165,41,33700
2,11,46200
163,32,1100
242,9,35000
85,3,75100
89,13,70300
1,25,7600
62,29,95800
69,2,4800
13,9,4900
195,17,2200
121,1,41000
236,4,78700
101,20,19000
241,25,11700
16,38,26300
241,43,28000
266,28,84200
223,17,77100
123,20,94100
272,46,99100
119,23,97100
77,24,7100
184,16,20100
84,39,67600
93,29,63000
40,5,74800
81,9,20200
243,43,37100
146,34,1700
146,39,64500
251,20,63300
229,12,83200
139,42,34500
132,10,42900
210,41,10400
258,32,99200
25,13,92200
274,13,84600
239,21,6500
93,35,54600
